Total Time,Memory Usage,num_samples,num_features,num_classes,dataset_size
49.23443961143494,242050467,910888,32,6,618.958658
37.94719171524048,150444235,754677,24,2,383.822092
58.83688020706177,397829723,723888,66,6,1020.052812
38.978784799575806,49425268,782958,7,18,114.426468
19.299063205718994,22546529,30425,89,7,57.999505
25.312077283859253,71984982,158720,54,7,183.002136
47.34622764587402,221169062,979548,27,13,562.12765
23.621153116226196,56726739,132313,51,8,144.219707
43.5073561668396,218637641,825161,32,2,562.224002
52.176390409469604,267196152,784757,41,8,686.067054
23.262507915496826,41573456,258960,19,6,104.073971
29.395695447921753,40085826,874144,5,3,91.297969
22.0598726272583,49700901,86241,69,2,127.353515
25.309322595596313,83535759,168629,59,9,212.920563
48.609614610672,314729289,684188,55,4,805.945692
49.398186922073364,278326766,700346,48,5,716.706637
22.206605911254883,14842710,58772,30,15,37.586094
